================ Training Loss (Wed May  6 09:01:56 2026) ================
(epoch: 27, iters: 9568, time: 0.017, data: 0.004) G_GAN: -18.774281 G_L1: 0.433043 PlateNum_L1: 0.000000 D_GAN: 1.105601 P_loss: 0.399010 D_real: -16.643015 D_fake: 18.854218 D_s: 0.812560 
(epoch: 28, iters: 9536, time: 0.017, data: 0.004) G_GAN: -18.746025 G_L1: 0.416089 PlateNum_L1: 0.000000 D_GAN: 1.171812 P_loss: 0.372169 D_real: -16.492426 D_fake: 18.836050 D_s: 0.764032 
(epoch: 29, iters: 9504, time: 0.015, data: 0.004) G_GAN: -18.794559 G_L1: 0.408133 PlateNum_L1: 0.000000 D_GAN: 1.165244 P_loss: 0.319973 D_real: -16.534824 D_fake: 18.865311 D_s: 0.760662 
(epoch: 30, iters: 9472, time: 0.017, data: 0.004) G_GAN: -18.725784 G_L1: 0.437589 PlateNum_L1: 0.000000 D_GAN: 1.133416 P_loss: 0.380956 D_real: -16.514889 D_fake: 18.781723 D_s: 0.779465 
(epoch: 31, iters: 9440, time: 0.017, data: 0.004) G_GAN: -18.649372 G_L1: 0.442168 PlateNum_L1: 0.000000 D_GAN: 1.131998 P_loss: 0.446571 D_real: -16.513645 D_fake: 18.777641 D_s: 0.798983 
(epoch: 32, iters: 9408, time: 0.018, data: 0.005) G_GAN: -18.822763 G_L1: 0.432478 PlateNum_L1: 0.000000 D_GAN: 1.140495 P_loss: 0.398479 D_real: -16.596554 D_fake: 18.877544 D_s: 0.784495 
(epoch: 33, iters: 9376, time: 0.018, data: 0.004) G_GAN: -18.740192 G_L1: 0.418983 PlateNum_L1: 0.000000 D_GAN: 1.161540 P_loss: 0.353212 D_real: -16.499411 D_fake: 18.822491 D_s: 0.758427 
(epoch: 34, iters: 9344, time: 0.018, data: 0.004) G_GAN: -18.633459 G_L1: 0.422586 PlateNum_L1: 0.000000 D_GAN: 1.163315 P_loss: 0.354745 D_real: -16.321466 D_fake: 18.648096 D_s: 0.784239 
(epoch: 35, iters: 9312, time: 0.017, data: 0.004) G_GAN: -18.633175 G_L1: 0.430864 PlateNum_L1: 0.000000 D_GAN: 1.137460 P_loss: 0.386651 D_real: -16.430239 D_fake: 18.705158 D_s: 0.768994 
(epoch: 36, iters: 9280, time: 0.017, data: 0.005) G_GAN: -18.603796 G_L1: 0.418745 PlateNum_L1: 0.000000 D_GAN: 1.148080 P_loss: 0.345973 D_real: -16.469614 D_fake: 18.765774 D_s: 0.790330 
(epoch: 37, iters: 9248, time: 0.018, data: 0.004) G_GAN: -18.698271 G_L1: 0.415533 PlateNum_L1: 0.000000 D_GAN: 1.128334 P_loss: 0.378173 D_real: -16.528841 D_fake: 18.785511 D_s: 0.783531 
(epoch: 38, iters: 9216, time: 0.018, data: 0.004) G_GAN: -18.798031 G_L1: 0.405750 PlateNum_L1: 0.000000 D_GAN: 1.174017 P_loss: 0.340135 D_real: -16.516027 D_fake: 18.864063 D_s: 0.789679 
(epoch: 39, iters: 9184, time: 0.018, data: 0.004) G_GAN: -18.676552 G_L1: 0.410386 PlateNum_L1: 0.000000 D_GAN: 1.191177 P_loss: 0.342821 D_real: -16.345371 D_fake: 18.727724 D_s: 0.800916 
(epoch: 40, iters: 9152, time: 0.018, data: 0.004) G_GAN: -18.379030 G_L1: 0.414259 PlateNum_L1: 0.000000 D_GAN: 1.171572 P_loss: 0.383411 D_real: -16.020271 D_fake: 18.363415 D_s: 0.776052 
(epoch: 41, iters: 9120, time: 0.018, data: 0.003) G_GAN: -18.453730 G_L1: 0.415975 PlateNum_L1: 0.000000 D_GAN: 1.207277 P_loss: 0.388595 D_real: -16.124027 D_fake: 18.538580 D_s: 0.793171 
(epoch: 42, iters: 9088, time: 0.018, data: 0.004) G_GAN: -18.677439 G_L1: 0.397591 PlateNum_L1: 0.000000 D_GAN: 1.205216 P_loss: 0.307240 D_real: -16.336952 D_fake: 18.747385 D_s: 0.787089 
(epoch: 43, iters: 9056, time: 0.018, data: 0.004) G_GAN: -18.297485 G_L1: 0.397664 PlateNum_L1: 0.000000 D_GAN: 1.170724 P_loss: 0.314069 D_real: -16.101337 D_fake: 18.442785 D_s: 0.785581 
(epoch: 44, iters: 9024, time: 0.018, data: 0.004) G_GAN: -18.508652 G_L1: 0.399946 PlateNum_L1: 0.000000 D_GAN: 1.179212 P_loss: 0.330576 D_real: -16.203053 D_fake: 18.561478 D_s: 0.775019 
(epoch: 45, iters: 8992, time: 0.018, data: 0.003) G_GAN: -18.345203 G_L1: 0.413158 PlateNum_L1: 0.000000 D_GAN: 1.159205 P_loss: 0.324464 D_real: -16.061142 D_fake: 18.379551 D_s: 0.801614 
(epoch: 46, iters: 8960, time: 0.018, data: 0.004) G_GAN: -18.508308 G_L1: 0.418210 PlateNum_L1: 0.000000 D_GAN: 1.196107 P_loss: 0.342384 D_real: -16.164940 D_fake: 18.557156 D_s: 0.807452 
(epoch: 47, iters: 8928, time: 0.018, data: 0.003) G_GAN: -18.395016 G_L1: 0.399787 PlateNum_L1: 0.000000 D_GAN: 1.204617 P_loss: 0.298490 D_real: -16.018087 D_fake: 18.427322 D_s: 0.770272 
(epoch: 48, iters: 8896, time: 0.018, data: 0.004) G_GAN: -18.339176 G_L1: 0.401776 PlateNum_L1: 0.000000 D_GAN: 1.213505 P_loss: 0.332374 D_real: -15.918601 D_fake: 18.345612 D_s: 0.776790 
(epoch: 49, iters: 8864, time: 0.018, data: 0.004) G_GAN: -18.284328 G_L1: 0.413211 PlateNum_L1: 0.000000 D_GAN: 1.190450 P_loss: 0.349592 D_real: -15.971606 D_fake: 18.352507 D_s: 0.800678 
(epoch: 50, iters: 8832, time: 0.019, data: 0.004) G_GAN: -18.401985 G_L1: 0.425165 PlateNum_L1: 0.000000 D_GAN: 1.184716 P_loss: 0.403209 D_real: -16.065926 D_fake: 18.435358 D_s: 0.795661 
(epoch: 51, iters: 8800, time: 0.018, data: 0.004) G_GAN: -18.140596 G_L1: 0.396991 PlateNum_L1: 0.000000 D_GAN: 1.196111 P_loss: 0.311643 D_real: -15.802619 D_fake: 18.194841 D_s: 0.771598 
(epoch: 52, iters: 8768, time: 0.018, data: 0.004) G_GAN: -18.163715 G_L1: 0.396710 PlateNum_L1: 0.000000 D_GAN: 1.204968 P_loss: 0.298556 D_real: -15.827925 D_fake: 18.237862 D_s: 0.757502 
(epoch: 53, iters: 8736, time: 0.018, data: 0.004) G_GAN: -18.294399 G_L1: 0.403933 PlateNum_L1: 0.000000 D_GAN: 1.213990 P_loss: 0.326879 D_real: -15.921618 D_fake: 18.349598 D_s: 0.791123 
(epoch: 54, iters: 8704, time: 0.018, data: 0.004) G_GAN: -18.344730 G_L1: 0.410851 PlateNum_L1: 0.000000 D_GAN: 1.192127 P_loss: 0.380115 D_real: -16.017632 D_fake: 18.401884 D_s: 0.781469 
(epoch: 55, iters: 8672, time: 0.019, data: 0.004) G_GAN: -18.213669 G_L1: 0.406633 PlateNum_L1: 0.000000 D_GAN: 1.202507 P_loss: 0.360230 D_real: -15.870432 D_fake: 18.275448 D_s: 0.777833 
(epoch: 56, iters: 8640, time: 0.018, data: 0.004) G_GAN: -18.233833 G_L1: 0.410629 PlateNum_L1: 0.000000 D_GAN: 1.211169 P_loss: 0.330124 D_real: -15.868961 D_fake: 18.291300 D_s: 0.792467 
(epoch: 57, iters: 8608, time: 0.018, data: 0.004) G_GAN: -18.061523 G_L1: 0.443805 PlateNum_L1: 0.000000 D_GAN: 1.185436 P_loss: 0.398621 D_real: -15.707832 D_fake: 18.078705 D_s: 0.793935 
(epoch: 58, iters: 8576, time: 0.019, data: 0.004) G_GAN: -18.249622 G_L1: 0.416067 PlateNum_L1: 0.000000 D_GAN: 1.207995 P_loss: 0.323168 D_real: -15.903053 D_fake: 18.319044 D_s: 0.785603 
(epoch: 59, iters: 8544, time: 0.018, data: 0.004) G_GAN: -18.248913 G_L1: 0.397670 PlateNum_L1: 0.000000 D_GAN: 1.225843 P_loss: 0.304882 D_real: -15.867756 D_fake: 18.319443 D_s: 0.788183 
(epoch: 60, iters: 8512, time: 0.019, data: 0.004) G_GAN: -17.994484 G_L1: 0.386555 PlateNum_L1: 0.000000 D_GAN: 1.233210 P_loss: 0.294406 D_real: -15.603599 D_fake: 18.070021 D_s: 0.750677 
(epoch: 61, iters: 8480, time: 0.019, data: 0.004) G_GAN: -18.079678 G_L1: 0.407599 PlateNum_L1: 0.000000 D_GAN: 1.219785 P_loss: 0.338423 D_real: -15.671302 D_fake: 18.110870 D_s: 0.780930 
(epoch: 62, iters: 8448, time: 0.019, data: 0.004) G_GAN: -18.116270 G_L1: 0.396544 PlateNum_L1: 0.000000 D_GAN: 1.232193 P_loss: 0.301838 D_real: -15.712924 D_fake: 18.177311 D_s: 0.803599 
