================ Training Loss (Wed May  6 09:01:39 2026) ================
(epoch: 27, iters: 9568, time: 0.017, data: 0.004) G_GAN: -5.436192 G_L1: 0.479511 PlateNum_L1: 0.000000 D_GAN: 1.194837 P_loss: 0.383188 D_real: -3.840658 D_fake: 6.230331 D_s: 0.642266 
(epoch: 28, iters: 9536, time: 0.017, data: 0.004) G_GAN: -5.871143 G_L1: 0.420082 PlateNum_L1: 0.000000 D_GAN: 1.252409 P_loss: 0.313301 D_real: -3.435982 D_fake: 5.940800 D_s: 0.649310 
(epoch: 29, iters: 9504, time: 0.017, data: 0.004) G_GAN: -5.766878 G_L1: 0.421588 PlateNum_L1: 0.000000 D_GAN: 1.196836 P_loss: 0.324053 D_real: -3.422884 D_fake: 5.816556 D_s: 0.643653 
(epoch: 30, iters: 9472, time: 0.017, data: 0.004) G_GAN: -5.774847 G_L1: 0.433462 PlateNum_L1: 0.000000 D_GAN: 1.192774 P_loss: 0.296218 D_real: -3.442824 D_fake: 5.828372 D_s: 0.682792 
(epoch: 31, iters: 9440, time: 0.017, data: 0.004) G_GAN: -5.561672 G_L1: 0.437840 PlateNum_L1: 0.000000 D_GAN: 1.103896 P_loss: 0.350861 D_real: -3.597291 D_fake: 5.805083 D_s: 0.672282 
(epoch: 32, iters: 9408, time: 0.018, data: 0.004) G_GAN: -5.636845 G_L1: 0.446325 PlateNum_L1: 0.000000 D_GAN: 1.173562 P_loss: 0.401006 D_real: -3.364189 D_fake: 5.711312 D_s: 0.651704 
(epoch: 33, iters: 9376, time: 0.017, data: 0.004) G_GAN: -5.707347 G_L1: 0.426319 PlateNum_L1: 0.000000 D_GAN: 1.234829 P_loss: 0.319613 D_real: -3.246526 D_fake: 5.716186 D_s: 0.647923 
(epoch: 34, iters: 9344, time: 0.017, data: 0.003) G_GAN: -5.668699 G_L1: 0.441294 PlateNum_L1: 0.000000 D_GAN: 1.155390 P_loss: 0.357506 D_real: -3.409742 D_fake: 5.720522 D_s: 0.646581 
(epoch: 35, iters: 9312, time: 0.018, data: 0.005) G_GAN: -5.499300 G_L1: 0.435707 PlateNum_L1: 0.000000 D_GAN: 1.181814 P_loss: 0.338351 D_real: -3.153306 D_fake: 5.516934 D_s: 0.649860 
(epoch: 36, iters: 9280, time: 0.018, data: 0.004) G_GAN: -5.490779 G_L1: 0.434689 PlateNum_L1: 0.000000 D_GAN: 1.223655 P_loss: 0.323219 D_real: -3.088593 D_fake: 5.535903 D_s: 0.651467 
(epoch: 37, iters: 9248, time: 0.017, data: 0.004) G_GAN: -5.631470 G_L1: 0.433123 PlateNum_L1: 0.000000 D_GAN: 1.177864 P_loss: 0.355710 D_real: -3.328769 D_fake: 5.684497 D_s: 0.637461 
(epoch: 38, iters: 9216, time: 0.018, data: 0.004) G_GAN: -5.396724 G_L1: 0.414376 PlateNum_L1: 0.000000 D_GAN: 1.253231 P_loss: 0.276472 D_real: -2.948397 D_fake: 5.454859 D_s: 0.661808 
(epoch: 39, iters: 9184, time: 0.018, data: 0.003) G_GAN: -5.431848 G_L1: 0.431437 PlateNum_L1: 0.000000 D_GAN: 1.206520 P_loss: 0.313064 D_real: -3.060857 D_fake: 5.473897 D_s: 0.647236 
(epoch: 40, iters: 9152, time: 0.018, data: 0.004) G_GAN: -5.164221 G_L1: 0.421219 PlateNum_L1: 0.000000 D_GAN: 1.216038 P_loss: 0.315513 D_real: -2.835082 D_fake: 5.267158 D_s: 0.650959 
(epoch: 41, iters: 9120, time: 0.018, data: 0.004) G_GAN: -5.175315 G_L1: 0.429979 PlateNum_L1: 0.000000 D_GAN: 1.174549 P_loss: 0.367042 D_real: -2.878372 D_fake: 5.227470 D_s: 0.663694 
(epoch: 42, iters: 9088, time: 0.018, data: 0.004) G_GAN: -5.186218 G_L1: 0.427007 PlateNum_L1: 0.000000 D_GAN: 1.212657 P_loss: 0.300119 D_real: -2.797524 D_fake: 5.222839 D_s: 0.647043 
(epoch: 43, iters: 9056, time: 0.016, data: 0.004) G_GAN: -5.308050 G_L1: 0.410747 PlateNum_L1: 0.000000 D_GAN: 1.225898 P_loss: 0.317001 D_real: -2.863697 D_fake: 5.315493 D_s: 0.653736 
(epoch: 44, iters: 9024, time: 0.018, data: 0.004) G_GAN: -5.394882 G_L1: 0.421530 PlateNum_L1: 0.000000 D_GAN: 1.231907 P_loss: 0.323496 D_real: -2.942641 D_fake: 5.406456 D_s: 0.650123 
(epoch: 45, iters: 8992, time: 0.018, data: 0.004) G_GAN: -5.248565 G_L1: 0.420807 PlateNum_L1: 0.000000 D_GAN: 1.242546 P_loss: 0.282890 D_real: -2.811712 D_fake: 5.296804 D_s: 0.657427 
(epoch: 46, iters: 8960, time: 0.018, data: 0.004) G_GAN: -5.258306 G_L1: 0.417273 PlateNum_L1: 0.000000 D_GAN: 1.236495 P_loss: 0.309563 D_real: -2.791126 D_fake: 5.264116 D_s: 0.645972 
(epoch: 47, iters: 8928, time: 0.018, data: 0.004) G_GAN: -5.287724 G_L1: 0.419678 PlateNum_L1: 0.000000 D_GAN: 1.205518 P_loss: 0.331900 D_real: -2.920157 D_fake: 5.331194 D_s: 0.683465 
(epoch: 48, iters: 8896, time: 0.018, data: 0.004) G_GAN: -5.096891 G_L1: 0.452521 PlateNum_L1: 0.000000 D_GAN: 1.187106 P_loss: 0.439980 D_real: -2.742211 D_fake: 5.116422 D_s: 0.640134 
(epoch: 49, iters: 8864, time: 0.015, data: 0.004) G_GAN: -5.241168 G_L1: 0.414966 PlateNum_L1: 0.000000 D_GAN: 1.225600 P_loss: 0.303554 D_real: -2.823361 D_fake: 5.274562 D_s: 0.661030 
(epoch: 50, iters: 8832, time: 0.018, data: 0.004) G_GAN: -5.221087 G_L1: 0.396936 PlateNum_L1: 0.000000 D_GAN: 1.273292 P_loss: 0.263540 D_real: -2.647915 D_fake: 5.194498 D_s: 0.679165 
(epoch: 51, iters: 8800, time: 0.018, data: 0.004) G_GAN: -5.393642 G_L1: 0.408524 PlateNum_L1: 0.000000 D_GAN: 1.235447 P_loss: 0.300812 D_real: -2.925163 D_fake: 5.396057 D_s: 0.645257 
(epoch: 52, iters: 8768, time: 0.018, data: 0.004) G_GAN: -5.282635 G_L1: 0.405742 PlateNum_L1: 0.000000 D_GAN: 1.244999 P_loss: 0.317856 D_real: -2.813075 D_fake: 5.303073 D_s: 0.654367 
(epoch: 53, iters: 8736, time: 0.018, data: 0.004) G_GAN: -4.853761 G_L1: 0.400249 PlateNum_L1: 0.000000 D_GAN: 1.256214 P_loss: 0.285588 D_real: -2.388588 D_fake: 4.901016 D_s: 0.651349 
(epoch: 54, iters: 8704, time: 0.016, data: 0.004) G_GAN: -5.435096 G_L1: 0.413487 PlateNum_L1: 0.000000 D_GAN: 1.274985 P_loss: 0.306707 D_real: -2.890186 D_fake: 5.440155 D_s: 0.635790 
(epoch: 55, iters: 8672, time: 0.018, data: 0.004) G_GAN: -4.860304 G_L1: 0.410233 PlateNum_L1: 0.000000 D_GAN: 1.224372 P_loss: 0.282550 D_real: -2.497050 D_fake: 4.945794 D_s: 0.644575 
(epoch: 56, iters: 8640, time: 0.018, data: 0.004) G_GAN: -5.417975 G_L1: 0.421170 PlateNum_L1: 0.000000 D_GAN: 1.198828 P_loss: 0.319782 D_real: -3.081795 D_fake: 5.479450 D_s: 0.670345 
(epoch: 57, iters: 8608, time: 0.018, data: 0.004) G_GAN: -4.876041 G_L1: 0.427217 PlateNum_L1: 0.000000 D_GAN: 1.193584 P_loss: 0.363463 D_real: -2.610524 D_fake: 4.997692 D_s: 0.637944 
(epoch: 58, iters: 8576, time: 0.018, data: 0.004) G_GAN: -5.171749 G_L1: 0.413980 PlateNum_L1: 0.000000 D_GAN: 1.249434 P_loss: 0.293422 D_real: -2.731093 D_fake: 5.229962 D_s: 0.678191 
(epoch: 59, iters: 8544, time: 0.018, data: 0.004) G_GAN: -5.215218 G_L1: 0.408935 PlateNum_L1: 0.000000 D_GAN: 1.241726 P_loss: 0.283230 D_real: -2.753228 D_fake: 5.236680 D_s: 0.649864 
(epoch: 60, iters: 8512, time: 0.018, data: 0.004) G_GAN: -5.226506 G_L1: 0.411011 PlateNum_L1: 0.000000 D_GAN: 1.259213 P_loss: 0.293481 D_real: -2.760008 D_fake: 5.278434 D_s: 0.642051 
(epoch: 61, iters: 8480, time: 0.018, data: 0.004) G_GAN: -4.666746 G_L1: 0.421173 PlateNum_L1: 0.000000 D_GAN: 1.165105 P_loss: 0.317863 D_real: -2.416353 D_fake: 4.746564 D_s: 0.632778 
(epoch: 62, iters: 8448, time: 0.019, data: 0.004) G_GAN: -4.965035 G_L1: 0.410293 PlateNum_L1: 0.000000 D_GAN: 1.237406 P_loss: 0.308848 D_real: -2.517918 D_fake: 4.992730 D_s: 0.654141 
(epoch: 63, iters: 8416, time: 0.018, data: 0.004) G_GAN: -5.158294 G_L1: 0.408426 PlateNum_L1: 0.000000 D_GAN: 1.249948 P_loss: 0.292876 D_real: -2.668056 D_fake: 5.167951 D_s: 0.638333 
(epoch: 64, iters: 8384, time: 0.019, data: 0.003) G_GAN: -4.942592 G_L1: 0.406511 PlateNum_L1: 0.000000 D_GAN: 1.240654 P_loss: 0.292566 D_real: -2.574854 D_fake: 5.056162 D_s: 0.635336 
(epoch: 65, iters: 8352, time: 0.019, data: 0.004) G_GAN: -5.198525 G_L1: 0.390810 PlateNum_L1: 0.000000 D_GAN: 1.278610 P_loss: 0.281895 D_real: -2.647817 D_fake: 5.205036 D_s: 0.651139 
(epoch: 66, iters: 8320, time: 0.019, data: 0.004) G_GAN: -5.167942 G_L1: 0.396410 PlateNum_L1: 0.000000 D_GAN: 1.278202 P_loss: 0.274819 D_real: -2.654526 D_fake: 5.210931 D_s: 0.658913 
